TOWN|MIN|MAX
MAYNARD, MA|50|85
MEDFIELD, MA|30|50
MEDFORD, MA|40|80
MEDWAY, MA|40|60
MELROSE, MA|45|90
MENDON, MA|45|70
MERRIMAC, MA|70|110
METHUEN, MA|60|100
MIDDLEBORO, MA|30|40
MIDDLEFIELD, MA|130|170
MIDDLETON, MA|55|90
MILFORD, MA|45|65
MILL RIVER, MA|150|190
MILLBURY, MA|55|85
MILLIS, MA|35|60
MILLVILLE, MA|50|75
MILTON, MA|18|30
MONROE BRIDGE, MA|150|210
MONSON, MA|85|120
MONTAGUE, MA|110|160
MONTEREY, MA|140|180
MONUMENT BEACH, MA|50|65
NAHANT, MA|50|100
NANTUCKET, MA|210|250
NATICK, MA|35|60
NEEDHAM, MA|26|45
NEEDHAM HEIGHTS, MA|26|45
NEW BEDFORD, MA|45|60
NEW BRAINTREE, MA|90|130
NEW SALEM, MA|90|140
NEWBURY, MA|75|110
NEWBURYPORT, MA|75|110
NEWTON, MA|30|60
NEWTON CENTER, MA|30|60
NEWTON HIGHLANDS, MA|30|55
NEWTON LOWER FALLS, MA|28|50
NEWTON UPPER FALLS, MA|28|50
NEWTONVILLE, MA|35|60
NORFOLK, MA|30|50
NORTH ADAMS, MA|160|220
NORTH ANDOVER, MA|60|100
NORTH ATTLEBORO, MA|40|55
NORTH BILLERICA, MA|50|80
NORTH BROOKFIELD, MA|85|120
NORTH CHATHAM, MA|90|130
NORTH CHELMSFORD, MA|50|85
NORTH DARTMOUTH, MA|45|60
NORTH DIGHTON, MA|35|55
NORTH EASTHAM, MA|90|140
NORTH EASTON, MA|20|28
NORTH FALMOUTH, MA|55|75
NORTH GRAFTON, MA|55|85
NORTH HATFIELD, MA|110|150
NORTH OXFORD, MA|60|90
NORTH READING, MA|50|85
NORTH TRURO, MA|110|150
NORTHAMPTON, MA|110|150
NORTHBOROUGH, MA|55|80
NORTHBRIDGE, MA|60|80
NORTHFIELD, MA|110|160
NORTON, MA|30|45
NORWELL, MA|22|28
NORWOOD, MA|24|40
OAK BLUFFS, MA|120|150
OAKHAM, MA|85|130
ONSET, MA|45|55
